100,90001,15
100,90002,66
100,90003,67
100,90004,16
100,90005,82
100,90006,60
100,90007,71
100,90008,35
100,90009,57
100,90010,89
100,90011,40
100,90012,12
100,90013,20
100,90014,45
100,90015,93
100,90016,45
100,90017,71
100,90018,10
100,90019,99
100,90020,100
100,90021,47
100,90022,28
100,90023,43
100,90024,28
100,90025,15
100,90026,84
100,90027,53
100,90028,54
100,90029,68
100,90030,30
100,90031,52
100,90032,37
100,90033,48
100,90034,55
100,90035,48
100,90036,23
100,90037,10
100,90038,34
100,90039,26
100,90040,75
100,90041,77
100,90042,94
100,90043,31
100,90044,65
100,90045,34
100,90046,37
100,90047,15
100,90048,79
100,90049,25
100,90050,85
100,90051,52
100,90052,55
100,90053,84
100,90054,81
100,90055,23
100,90056,86
100,90057,91
100,90058,19
100,90059,56
100,90060,59
100,90061,55
100,90062,63
100,90063,98
100,90064,48
100,90065,27
100,90066,11
100,90067,83
100,90068,44
100,90069,68
100,90070,69
100,90071,13
100,90072,42
100,90073,16
100,90074,75
100,90075,18
100,90076,25
100,90077,75
100,90078,67
100,90079,97
100,90080,76
100,90081,66
100,90082,64
100,90083,29
100,90084,58
100,90085,21
100,90086,63
100,90087,77
100,90088,52
100,90089,18
100,90090,88
100,90091,41
100,90092,46
100,90093,53
100,90094,94
100,90095,58
100,90096,11
100,90097,33
100,90098,91
100,90099,65
100,90100,31
100,90101,75
100,90102,86
100,90103,16
100,90104,39
100,90105,23
100,90106,94
100,90107,56
100,90108,26
100,90109,39
100,90110,79
100,90111,100
100,90112,72
100,90113,82
100,90114,91
100,90115,75
100,90116,86
100,90117,26
100,90118,61
100,90119,74
100,90120,48
100,90121,21
100,90122,43
100,90123,99
100,90124,79
100,90125,50
100,90126,34
100,90127,11
100,90128,88
100,90129,89
100,90130,80
100,90131,28
100,90132,59
100,90133,100
100,90134,43
100,90135,66
100,90136,30
100,90137,51
100,90138,58
100,90139,34
100,90140,77
100,90141,62
100,90142,96
100,90143,53
100,90144,48
100,90145,35
100,90146,14
100,90147,78
100,90148,56
100,90149,54
100,90150,62
100,90151,55
100,90152,11
100,90153,29
100,90154,94
100,90155,59
100,90156,31
100,90157,13
100,90158,57
100,90159,15
100,90160,43
100,90161,23
100,90162,98
100,90163,93
100,90164,98
100,90165,60
100,90166,92
100,90167,29
100,90168,94
100,90169,65
100,90170,45
100,90171,76
100,90172,27
100,90173,97
100,90174,46
100,90175,84
100,90176,59
100,90177,47
100,90178,95
100,90179,75
100,90180,32
100,90181,23
100,90182,83
100,90183,57
100,90184,81
100,90185,87
100,90186,44
100,90187,19
100,90188,87
100,90189,44
100,90190,14
100,90191,67
100,90192,83
100,90193,42
100,90194,64
100,90195,63
100,90196,57
100,90197,27
100,90198,72
100,90199,46
100,90200,47
100,90201,15
100,90202,47
100,90203,43
100,90204,36
100,90205,39
100,90206,67
100,90207,12
100,90208,46
100,90209,72
100,90210,24
100,90211,88
100,90212,76
100,90213,28
100,90214,51
100,90215,10
100,90216,82
100,90217,74
100,90218,69
100,90219,31
100,90220,39
100,90221,64
100,90222,29
100,90223,90
100,90224,72
100,90225,94
100,90226,33
100,90227,14
100,90228,64
100,90229,15
